                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.01884,                      1,                      1,                0.74367,             0.00055142,             0.00055142,             0.00055142
                     26,                0.00941,                      1,                      1,                0.74367,             0.00054435,             0.00054435,             0.00054435
                     27,                0.00787,                      1,                      1,                0.74367,             0.00053728,             0.00053728,             0.00053728
                     28,                0.00359,                      1,                      1,                0.74368,             0.00053022,             0.00053022,             0.00053022
                     29,                0.00662,                      1,                      1,                0.74367,             0.00052315,             0.00052315,             0.00052315
                     30,                0.00599,                      1,                      1,                0.74367,             0.00051608,             0.00051608,             0.00051608
                     31,                0.00126,                      1,                      1,                0.74367,             0.00050901,             0.00050901,             0.00050901
                     32,                 0.0055,                      1,                      1,                0.74367,             0.00050194,             0.00050194,             0.00050194
                     33,                0.00711,                      1,                      1,                0.74367,             0.00049487,             0.00049487,             0.00049487
                     34,                0.00336,                      1,                      1,                0.74367,              0.0004878,              0.0004878,              0.0004878
                     35,                0.00347,                      1,                      1,                0.74367,             0.00048074,             0.00048074,             0.00048074
                     36,                0.00416,                      1,                      1,                0.74367,             0.00047367,             0.00047367,             0.00047367
                     37,                0.00192,                      1,                      1,                0.74367,              0.0004666,              0.0004666,              0.0004666
                     38,                0.00432,                      1,                      1,                0.74367,             0.00045953,             0.00045953,             0.00045953
                     39,                0.00452,                      1,                      1,                0.74368,             0.00045246,             0.00045246,             0.00045246
                     40,                0.00578,                      1,                      1,                0.74367,             0.00044539,             0.00044539,             0.00044539
                     41,                0.00724,                      1,                      1,                0.74367,             0.00043832,             0.00043832,             0.00043832
                     42,                0.00722,                      1,                      1,                0.74367,             0.00043126,             0.00043126,             0.00043126
                     43,                0.00812,                      1,                      1,                0.74367,             0.00042419,             0.00042419,             0.00042419
                     44,                0.00566,                      1,                      1,                0.74367,             0.00041712,             0.00041712,             0.00041712
                     45,                0.00513,                      1,                      1,                0.74367,             0.00041005,             0.00041005,             0.00041005
                     46,                0.00241,                      1,                      1,                0.74367,             0.00040298,             0.00040298,             0.00040298
                     47,                0.00579,                      1,                      1,                0.74367,             0.00039591,             0.00039591,             0.00039591
                     48,                0.01396,                      1,                      1,                0.74367,             0.00038884,             0.00038884,             0.00038884
                     49,                0.00919,                      1,                      1,                0.74367,             0.00038178,             0.00038178,             0.00038178
                     50,                 0.0053,                      1,                      1,                0.74367,             0.00037471,             0.00037471,             0.00037471
                     51,                0.00253,                      1,                      1,                0.74367,             0.00036764,             0.00036764,             0.00036764
                     52,                0.00236,                      1,                      1,                0.74367,             0.00036057,             0.00036057,             0.00036057
                     53,                0.00313,                      1,                      1,                0.74367,              0.0003535,              0.0003535,              0.0003535
                     54,                0.00302,                      1,                      1,                0.74367,             0.00034643,             0.00034643,             0.00034643
                     55,                0.00232,                      1,                      1,                0.74367,             0.00033936,             0.00033936,             0.00033936
                     56,                0.00097,                      1,                      1,                0.74367,              0.0003323,              0.0003323,              0.0003323
                     57,                0.00137,                      1,                      1,                0.74367,             0.00032523,             0.00032523,             0.00032523
                     58,                 0.0024,                      1,                      1,                0.74367,             0.00031816,             0.00031816,             0.00031816
                     59,                0.00421,                      1,                      1,                0.74367,             0.00031109,             0.00031109,             0.00031109
                     60,                0.00323,                      1,                      1,                0.74367,             0.00030402,             0.00030402,             0.00030402
                     61,                0.00217,                      1,                      1,                0.74367,             0.00029695,             0.00029695,             0.00029695
                     62,                0.00214,                      1,                      1,                0.74367,             0.00028988,             0.00028988,             0.00028988
                     63,                0.00122,                      1,                      1,                0.74367,             0.00028282,             0.00028282,             0.00028282
                     64,                0.00155,                      1,                      1,                0.74367,             0.00027575,             0.00027575,             0.00027575
                     65,                0.00394,                      1,                      1,                0.74367,             0.00026868,             0.00026868,             0.00026868
                     66,                0.00165,                      1,                      1,                0.74367,             0.00026161,             0.00026161,             0.00026161
                     67,                 0.0024,                      1,                      1,                0.74367,             0.00025454,             0.00025454,             0.00025454
                     68,                0.00718,                      1,                      1,                0.74367,             0.00024747,             0.00024747,             0.00024747
                     69,                0.00413,                      1,                      1,                0.74367,              0.0002404,              0.0002404,              0.0002404
                     70,                 0.0039,                      1,                      1,                0.74367,             0.00023334,             0.00023334,             0.00023334
                     71,                0.00178,                      1,                      1,                0.74367,             0.00022627,             0.00022627,             0.00022627
                     72,                0.00352,                      1,                      1,                0.74367,              0.0002192,              0.0002192,              0.0002192
                     73,                0.00076,                      1,                      1,                0.74367,             0.00021213,             0.00021213,             0.00021213
                     74,                0.00102,                      1,                      1,                0.74367,             0.00020506,             0.00020506,             0.00020506
                     75,                0.00206,                      1,                      1,                0.74367,             0.00019799,             0.00019799,             0.00019799
                     76,                0.00961,                      1,                      1,                0.74367,             0.00019092,             0.00019092,             0.00019092
                     77,                0.00254,                      1,                      1,                0.74367,             0.00018385,             0.00018385,             0.00018385
                     78,                0.00074,                      1,                      1,                0.74367,             0.00017679,             0.00017679,             0.00017679
                     79,                0.00147,                      1,                      1,                0.74367,             0.00016972,             0.00016972,             0.00016972
                     80,                 0.0019,                      1,                      1,                0.74367,             0.00016265,             0.00016265,             0.00016265
                     81,                0.00123,                      1,                      1,                0.74367,             0.00015558,             0.00015558,             0.00015558
                     82,                0.00068,                      1,                      1,                0.74367,             0.00014851,             0.00014851,             0.00014851
                     83,                0.00067,                      1,                      1,                0.74367,             0.00014144,             0.00014144,             0.00014144
                     84,                 0.0006,                      1,                      1,                0.74367,             0.00013437,             0.00013437,             0.00013437
                     85,                0.00104,                      1,                      1,                0.74367,             0.00012731,             0.00012731,             0.00012731
                     86,                0.00185,                      1,                      1,                0.74367,             0.00012024,             0.00012024,             0.00012024
                     87,                0.00017,                      1,                      1,                0.74367,             0.00011317,             0.00011317,             0.00011317
                     88,                0.00192,                      1,                      1,                0.74367,              0.0001061,              0.0001061,              0.0001061
                     89,                0.00242,                      1,                      1,                0.74367,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.00116,                      1,                      1,                0.74367,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.00055,                      1,                      1,                0.74367,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.00314,                      1,                      1,                0.74367,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.00087,                      1,                      1,                0.74367,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.00307,                      1,                      1,                0.74367,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.00131,                      1,                      1,                0.74367,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.00285,                      1,                      1,                0.74367,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.00259,                      1,                      1,                0.74367,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.00117,                      1,                      1,                0.74367,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.00282,                      1,                      1,                0.74367,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.00094,                      1,                      1,                0.74367,             2.1277e-05,             2.1277e-05,             2.1277e-05
